GC	median	loQ	hiQ
0	0.744701304646372	91.9496173469388	388.816978846333
1	0.580956740672923	91.9496173469388	388.816978846333
2	0.578713664454109	91.9496173469388	388.816978846333
3	0.623575188830396	91.9496173469388	388.816978846333
4	0.605630579079881	91.9496173469388	388.816978846333
5	0.699839780270085	91.9496173469388	388.816978846333
6	0.75367360952163	91.9496173469388	388.816978846333
7	0.883772030212863	91.9496173469388	388.816978846333
8	0.98471046005951	91.9496173469388	388.816978846333
9	0.955550469214923	91.9496173469388	388.816978846333
10	0.977981231403067	91.9496173469388	388.816978846333
11	1.09462119478141	91.9496173469388	388.816978846333
12	1.24266422522316	91.9496173469388	388.816978846333
13	1.28528267338064	91.9496173469388	388.816978846333
14	1.39519340810254	91.9496173469388	388.816978846333
15	1.44005493247883	91.9496173469388	388.816978846333
16	1.45351338979171	91.9496173469388	388.816978846333
17	1.47145799954223	91.9496173469388	388.816978846333
18	1.47145799954223	91.9496173469388	388.816978846333
19	1.48491645685512	91.9496173469388	388.816978846333
20	1.48043030441749	91.9496173469388	388.816978846333
21	1.47594415197986	91.9496173469388	388.816978846333
22	1.47594415197986	91.9496173469388	388.816978846333
23	1.47145799954223	91.9496173469388	388.816978846333
24	1.46248569466697	91.9496173469388	388.816978846333
25	1.45351338979171	91.9496173469388	388.816978846333
26	1.44454108491646	91.9496173469388	388.816978846333
27	1.4355687800412	91.9496173469388	388.816978846333
28	1.42211032272831	91.9496173469388	388.816978846333
29	1.40865186541543	91.9496173469388	388.816978846333
30	1.39519340810254	91.9496173469388	388.816978846333
31	1.38622110322728	91.9496173469388	388.816978846333
32	1.36827649347677	91.9496173469388	388.816978846333
33	1.35481803616388	91.9496173469388	388.816978846333
34	1.341359578851	91.9496173469388	388.816978846333
35	1.32790112153811	91.9496173469388	388.816978846333
36	1.30995651178759	91.9496173469388	388.816978846333
37	1.29649805447471	91.9496173469388	388.816978846333
38	1.27855344472419	91.9496173469388	388.816978846333
39	1.26509498741131	91.9496173469388	388.816978846333
40	1.25163653009842	91.9496173469388	388.816978846333
41	1.23369192034791	91.9496173469388	388.816978846333
42	1.21574731059739	91.9496173469388	388.816978846333
43	1.2022888532845	91.9496173469388	388.816978846333
44	1.18434424353399	91.9496173469388	388.816978846333
45	1.16639963378347	91.9496173469388	388.816978846333
46	1.14845502403296	91.9496173469388	388.816978846333
47	1.13051041428244	91.9496173469388	388.816978846333
48	1.11256580453193	91.9496173469388	388.816978846333
49	1.09462119478141	91.9496173469388	388.816978846333
50	1.06770428015564	91.9496173469388	388.816978846333
51	1.03630121309224	91.9496173469388	388.816978846333
52	1.02284275577935	91.9496173469388	388.816978846333
53	1.00489814602884	91.9496173469388	388.816978846333
54	0.982467383840696	91.9496173469388	388.816978846333
55	0.964522774090181	91.9496173469388	388.816978846333
56	0.946578164339666	91.9496173469388	388.816978846333
57	0.928633554589151	91.9496173469388	388.816978846333
58	0.910688944838636	91.9496173469388	388.816978846333
59	0.89723048752575	91.9496173469388	388.816978846333
60	0.883772030212863	91.9496173469388	388.816978846333
61	0.865827420462349	91.9496173469388	388.816978846333
62	0.847882810711833	91.9496173469388	388.816978846333
63	0.838910505836576	91.9496173469388	388.816978846333
64	0.82545204852369	91.9496173469388	388.816978846333
65	0.811993591210803	91.9496173469388	388.816978846333
66	0.807507438773175	91.9496173469388	388.816978846333
67	0.803021286335546	91.9496173469388	388.816978846333
68	0.780590524147402	91.9496173469388	388.816978846333
69	0.776104371709773	91.9496173469388	388.816978846333
70	0.771618219272145	91.9496173469388	388.816978846333
71	0.771618219272145	91.9496173469388	388.816978846333
72	0.767132066834516	91.9496173469388	388.816978846333
73	0.762645914396887	91.9496173469388	388.816978846333
74	0.75367360952163	91.9496173469388	388.816978846333
75	0.740215152208744	91.9496173469388	388.816978846333
76	0.744701304646372	91.9496173469388	388.816978846333
77	0.744701304646372	91.9496173469388	388.816978846333
78	0.749187457084001	91.9496173469388	388.816978846333
79	0.75367360952163	91.9496173469388	388.816978846333
80	0.75367360952163	91.9496173469388	388.816978846333
81	0.767132066834516	91.9496173469388	388.816978846333
82	0.744701304646372	91.9496173469388	388.816978846333
83	0.767132066834516	91.9496173469388	388.816978846333
84	0.740215152208744	91.9496173469388	388.816978846333
85	0.699839780270085	91.9496173469388	388.816978846333
86	0.776104371709773	91.9496173469388	388.816978846333
87	0.870313572899977	91.9496173469388	388.816978846333
88	0.731242847333486	91.9496173469388	388.816978846333
89	0.722270542458228	91.9496173469388	388.816978846333
90	0.690867475394827	91.9496173469388	388.816978846333
91	0.632547493705653	91.9496173469388	388.816978846333
92	0.583199816891737	91.9496173469388	388.816978846333
93	0.515907530327306	91.9496173469388	388.816978846333
94	0.549553673609522	91.9496173469388	388.816978846333
95	0.475532158388647	91.9496173469388	388.816978846333
96	0.542824444953079	91.9496173469388	388.816978846333
97	0.551796749828336	91.9496173469388	388.816978846333
